Serial,Count,TYPE,X,Y
15220,1,PERSON,-90.19450983,38.75412762
15221,1,PERSON,-90.19450983,38.75412762
15222,1,PERSON,-90.19450983,38.75412762
15223,1,PERSON,-90.19450983,38.75412762
15224,1,PROPERTY,-90.19450983,38.75412762
15225,1,PROPERTY,-90.19448933,38.75976625
15226,1,PROPERTY,-90.19445236,38.75527358
15227,1,PROPERTY,-90.19441016,38.75732346
15228,1,PROPERTY,-90.19441016,38.75732346
15229,1,PERSON,-90.19441016,38.75732346
15230,1,PROPERTY,-90.19441016,38.75732346
15231,1,PERSON,-90.19439366,38.75410372
15232,1,PROPERTY,-90.19436737,38.78953532
15233,1,PROPERTY,-90.19431714,38.76042538
15234,1,PROPERTY,-90.19427486,38.75622892
15235,1,PROPERTY,-90.19426204,38.75512281
15236,1,PROPERTY,-90.19417596,38.75616109
15237,1,PROPERTY,-90.19408042,38.75945522
15238,1,PROPERTY,-90.1940084,38.75620171
15239,1,PROPERTY,-90.19393062,38.79168378
15240,1,PERSON,-90.19380054,38.78028171
15241,1,PROPERTY,-90.19367453,38.75954171
15242,1,PROPERTY,-90.19346582,38.7595693
15243,1,PROPERTY,-90.19344346,38.7890111
15244,1,PROPERTY,-90.19339479,38.78895718
15245,1,PROPERTY,-90.19333506,38.76035984
15246,1,PERSON,-90.19329822,38.75567903
15247,1,PROPERTY,-90.19323029,38.75594042
15248,1,PROPERTY,-90.19322473,38.75584424
15249,1,PROPERTY,-90.19320691,38.79121555
15250,1,PROPERTY,-90.19319114,38.75711793
15251,1,PERSON,-90.19312513,38.75589498
15252,1,PROPERTY,-90.19301887,38.75593605
15253,1,PROPERTY,-90.19287847,38.75953185
15254,1,PROPERTY,-90.19286859,38.7543426
