Count,TYPE,X,Y
1,PROPERTY,-90.62349668,38.56200636
1,PROPERTY,-90.62256978,38.56965271
1,PROPERTY,-90.62200469,38.59099294
1,PROPERTY,-90.62129204,38.58588752
1,PROPERTY,-90.62043311,38.58543623
1,PROPERTY,-90.62035922,38.58426579
1,PROPERTY,-90.61977265,38.57979595
1,PROPERTY,-90.61948533,38.57673097
1,PROPERTY,-90.61872902,38.61570758
1,PROPERTY,-90.61851642,38.61734943
1,PROPERTY,-90.61777474,38.57443336
1,PROPERTY,-90.61747462,38.57047325
1,PERSON,-90.6171583,38.58342469
1,PROPERTY,-90.616299,38.56715302
1,PROPERTY,-90.61624682,38.56699398
1,PROPERTY,-90.61618088,38.5678394
1,PROPERTY,-90.61602176,38.57375139
1,PROPERTY,-90.61524725,38.60479897
1,PROPERTY,-90.61521648,38.58507373
1,PROPERTY,-90.61480662,38.60896644
1,PROPERTY,-90.61472605,38.53010127
1,PROPERTY,-90.61415131,38.52364093
1,PROPERTY,-90.61405963,38.57418246
1,PROPERTY,-90.61290429,38.61111304
1,PROPERTY,-90.61286722,38.59518705
1,PROPERTY,-90.61175913,38.58339887
1,PROPERTY,-90.61173913,38.60285571
1,PROPERTY,-90.6103316,38.6011206
1,PROPERTY,-90.6091787,38.57719026
1,PROPERTY,-90.60910344,38.6112999
1,PROPERTY,-90.60775467,38.60013167
1,PROPERTY,-90.60716328,38.57625808
1,PROPERTY,-90.60651513,38.61551081
1,PROPERTY,-90.60536431,38.57275643
1,PROPERTY,-90.60224112,38.6303479
1,PROPERTY,-90.60198823,38.56630592
1,PROPERTY,-90.6015756,38.58272082
1,PROPERTY,-90.60054107,38.56677913
1,PROPERTY,-90.5995485,38.52013641
1,PROPERTY,-90.59543275,38.52808428
1,PROPERTY,-90.5952168,38.62767702
1,PROPERTY,-90.59352326,38.50495365
1,PROPERTY,-90.59352326,38.50495365
1,PROPERTY,-90.59342078,38.61614897
1,PROPERTY,-90.59342078,38.61614897
1,PROPERTY,-90.59342078,38.61614897
1,PROPERTY,-90.59319372,38.61946782
1,PROPERTY,-90.59293468,38.52137126
1,PROPERTY,-90.59069756,38.51956131
1,PROPERTY,-90.59056031,38.62417828
1,PROPERTY,-90.58908508,38.63142263
1,PROPERTY,-90.58839316,38.50666235
1,PROPERTY,-90.58839316,38.50666235
1,PROPERTY,-90.58690469,38.52849846
1,PROPERTY,-90.58690469,38.52849846
1,PROPERTY,-90.5859232,38.62168743
1,PROPERTY,-90.57309648,38.60198893
1,PROPERTY,-90.57173906,38.56467092
1,PERSON,-90.56727041,38.64810638
1,PROPERTY,-90.56519814,38.5622981
1,PERSON,-90.55685691,38.55657916
1,PROPERTY,-90.55315727,38.51197127
1,PROPERTY,-90.55315727,38.51197127
1,PROPERTY,-90.55136701,38.56469165
1,PROPERTY,-90.55039312,38.56178552
1,PROPERTY,-90.54927614,38.51421923
1,PROPERTY,-90.54902139,38.56485435
1,PROPERTY,-90.54599695,38.55329987
1,PROPERTY,-90.54552452,38.56502763
1,PROPERTY,-90.53842127,38.57537007
1,PROPERTY,-90.53839049,38.57474184
1,PROPERTY,-90.53793112,38.57036154
1,PROPERTY,-90.53718995,38.56717671
1,PROPERTY,-90.53710886,38.5785638
1,PROPERTY,-90.53702392,38.5749038
1,PROPERTY,-90.53559647,38.53536881
1,PROPERTY,-90.53476388,38.57490562
1,PERSON,-90.53476388,38.57490562
1,PROPERTY,-90.53467672,38.57697835
1,PROPERTY,-90.53467672,38.57697835
1,PROPERTY,-90.53357402,38.57585508
1,PERSON,-90.53290006,38.57322192
1,PERSON,-90.53105785,38.58871615
1,PROPERTY,-90.53016399,38.57812112
1,PERSON,-90.53016399,38.57812112
1,PROPERTY,-90.52994002,38.58637692
1,PROPERTY,-90.52863906,38.58695697
1,PROPERTY,-90.52847636,38.59293051
1,PROPERTY,-90.52822712,38.54916719
1,PROPERTY,-90.52816107,38.54926478
1,PERSON,-90.52794717,38.5619892
1,PROPERTY,-90.5278272,38.54915241
1,PROPERTY,-90.5273086,38.58634779
1,PROPERTY,-90.52713359,38.56291249
1,PROPERTY,-90.52678193,38.56806168
1,PROPERTY,-90.52678193,38.56806168
1,PROPERTY,-90.52640826,38.57148508
1,PROPERTY,-90.52637989,38.56192931
1,PROPERTY,-90.52604769,38.59307743
1,PROPERTY,-90.52533703,38.55570618
1,PROPERTY,-90.52526343,38.59298563
1,PROPERTY,-90.52526343,38.59298563
1,PROPERTY,-90.52496315,38.58695598
1,PROPERTY,-90.52472496,38.55111586
