Serial,Count,TYPE,X,Y
18013,1,Property,-90.57886059,38.62904819
18014,1,Property,-90.57615483,38.59281927
18015,1,Property,-90.57047169,38.64988822
18016,1,Property,-90.56930757,38.64233267
18017,1,Property,-90.56857547,38.62658849
18018,1,Property,-90.56593675,38.64185425
18019,1,Property,-90.565933,38.596001
18020,1,Property,-90.56576749,38.65155378
18021,1,Property,-90.56509016,38.65061987
18022,1,Property,-90.56509016,38.65061987
18023,1,Property,-90.56500243,38.59054394
18024,1,Property,-90.559237,38.580857
18025,1,Property,-90.55480585,38.64690871
18026,1,Property,-90.55314612,38.58196059
18027,1,Property,-90.55089137,38.63969472
18028,1,Property,-90.54576317,38.60584516
18029,1,Property,-90.54513447,38.61880487
18030,1,Property,-90.54343664,38.55262803
18031,1,Property,-90.537106,38.595527
18032,1,Property,-90.534739,38.583251
18033,1,Property,-90.53461836,38.59305966
18034,1,Property,-90.534615,38.59306
18035,1,Property,-90.534615,38.59306
18036,1,Property,-90.532403,38.586143
18037,1,Property,-90.5321669,38.67572087
18038,1,Property,-90.531875,38.6731989
18039,1,Property,-90.5213149,38.5926121
18040,1,Property,-90.51743296,38.62087931
18041,1,Property,-90.50402328,38.65119121
18042,1,Property,-90.50301866,38.61808518
18043,1,Property,-90.49896814,38.59232368
18044,1,Property,-90.49855979,38.54172293
18045,1,Property,-90.49656273,38.53229477
18046,1,Property,-90.49541127,38.53218935
18047,1,Property,-90.49480392,38.53745662
18048,1,Property,-90.49172359,38.59465281
18049,1,Property,-90.4895574,38.59561218
18050,1,Property,-90.48904264,38.67599377
18051,1,Property,-90.48842919,38.52478985
18052,1,Property,-90.48809092,38.59967377
18053,1,Property,-90.48809092,38.59967377
18054,1,Property,-90.48809092,38.59967377
18055,1,Property,-90.48809092,38.59967377
18056,1,Property,-90.48809092,38.59967377
18057,1,Property,-90.48809092,38.59967377
18058,1,Property,-90.4879395,38.54888946
18059,1,Property,-90.48449287,38.55180835
18060,1,Property,-90.47753747,38.68284241
18061,1,Property,-90.47737321,38.59666884
18062,1,Property,-90.47729335,38.53985983
18063,1,Property,-90.47667615,38.6813888
18064,1,Property,-90.47519091,38.70965142
18065,1,Property,-90.47480222,38.68128338
18066,1,Property,-90.47358473,38.52419414
18067,1,Property,-90.47358473,38.52419414
18068,1,Property,-90.47020048,38.53940893
18069,1,Property,-90.46850561,38.67916082
18070,1,Property,-90.4676142,38.67774189
18071,1,Property,-90.46725023,38.51931671
18072,1,Property,-90.46699965,38.51265524
18073,1,Property,-90.46697361,38.64996744
18074,1,Property,-90.46696229,38.53894845
18075,1,Property,-90.4658455,38.68467212
18076,1,Property,-90.46470222,38.77570916
18077,1,Property,-90.46270756,38.69239898
18078,1,Property,-90.46259596,38.77669324
18079,1,Property,-90.46229486,38.67889898
18080,1,Property,-90.46075364,38.69152635
18081,1,Property,-90.45873491,38.75549183
18082,1,Property,-90.45764747,38.53970832
18083,1,Property,-90.45688796,38.53998847
18084,1,Property,-90.45635146,38.66747462
18085,1,Property,-90.45223233,38.67379221
18086,1,Property,-90.45083786,38.67720994
18087,1,Property,-90.45079615,38.64436452
18088,1,Property,-90.44895023,38.6290237
18089,1,Property,-90.44800007,38.67408404
18090,1,Property,-90.44790962,38.60084186
18091,1,Property,-90.44777242,38.54344382
18092,1,Property,-90.44777242,38.54344382
18093,1,Property,-90.44775483,38.6718917
18094,1,Property,-90.44748828,38.63670145
18095,1,Property,-90.44725949,38.66653916
18096,1,Property,-90.4472455,38.5112648
18097,1,Property,-90.4471496,38.67086972
18098,1,Property,-90.44679786,38.65441377
18099,1,Property,-90.44670821,38.54371914
18100,1,Property,-90.445785,38.602429
18101,1,Property,-90.4457595,38.6024013
18102,1,Property,-90.4457595,38.6024013
18103,1,Property,-90.4457595,38.6024013
18104,1,Property,-90.4457595,38.6024013
18105,1,Property,-90.4457595,38.6024013
18106,1,Property,-90.4457595,38.6024013
18107,1,Property,-90.44517374,38.63949622
18108,1,Property,-90.44474051,38.60123604
18109,1,Property,-90.44474051,38.60123604
18110,1,Property,-90.44474051,38.60123604
18111,1,Property,-90.44445052,38.6733662
18112,1,Property,-90.44436933,38.56466989
18113,1,Property,-90.44424782,38.53717693
18114,1,Property,-90.44358007,38.64615625
18115,1,Property,-90.44358007,38.64615625
18116,1,Property,-90.44255386,38.50704623
18117,1,Property,-90.4408774,38.666
18118,1,Property,-90.43875855,38.50999143
18119,1,Property,-90.43875855,38.50999143
18120,1,Property,-90.43404226,38.5114614
18121,1,Property,-90.43320636,38.60069943
18122,1,Property,-90.43320636,38.60069943
18123,1,Property,-90.43308852,38.67550519
18124,1,Property,-90.43292,38.6008011
18125,1,Property,-90.42739642,38.69041616
18126,1,Property,-90.42326987,38.5722567
18127,1,Property,-90.42140583,38.67372177
18128,1,Property,-90.42046971,38.52881667
18129,1,Property,-90.4187679,38.5209452
18130,1,Property,-90.41861165,38.68034494
18131,1,Property,-90.41816156,38.59654474
18132,1,Property,-90.41671523,38.58770674
18133,1,Property,-90.41612029,38.58923101
18134,1,Property,-90.41573474,38.63903101
18135,1,Property,-90.4152671,38.67005256
18136,1,Property,-90.4152453,38.5158626
18137,1,Property,-90.41473109,38.67315333
18138,1,Property,-90.41462463,38.67595718
18139,1,Property,-90.4106036,38.5527377
18140,1,Property,-90.41033112,38.67691371
18141,1,Property,-90.4103101,38.5118432
18142,1,Property,-90.41021522,38.5528263
18143,1,Property,-90.4098505,38.5122197
18144,1,Property,-90.4084511,38.5558968
18145,1,Property,-90.40825224,38.66498723
18146,1,Property,-90.40788828,38.70422576
18147,1,Property,-90.40777885,38.70416801
18148,1,Property,-90.40726792,38.56404722
18149,1,Property,-90.40672913,38.59959675
18150,1,Property,-90.40664769,38.69350962
18151,1,Property,-90.40664266,38.68154127
18152,1,Property,-90.4064557,38.5495783
18153,1,Property,-90.40473889,38.70038688
18154,1,Property,-90.40469721,38.56546487
18155,1,Property,-90.40469721,38.56546487
18156,1,Property,-90.4046006,38.56615705
18157,1,Property,-90.40442724,38.6768247
18158,1,Property,-90.40369908,38.5630796
18159,1,Property,-90.40369908,38.5630796
18160,1,Property,-90.40351132,38.56136552
18161,1,Property,-90.40186151,38.67672365
18162,1,Property,-90.40140392,38.68792016
18163,1,Property,-90.4011382,38.67790542
18164,1,Property,-90.4004255,38.7095194
18165,1,Property,-90.3982665,38.59517311
18166,1,Property,-90.39695802,38.69174771
18167,1,Property,-90.39695802,38.69174771
18168,1,Property,-90.3963219,38.5654206
18169,1,Property,-90.39614535,38.56765548
18170,1,Property,-90.39606285,38.573979
18171,1,Property,-90.39590141,38.6143372
18172,1,Property,-90.39543588,38.65758023
18173,1,Property,-90.39492158,38.66074184
18174,1,Property,-90.39384441,38.69157073
18175,1,Property,-90.39286842,38.60085783
18176,1,Property,-90.39272075,38.56046821
18177,1,Property,-90.39229149,38.63802959
18178,1,Property,-90.39220901,38.4763102
18179,1,Property,-90.39157072,38.57483603
18180,1,Property,-90.39142018,38.4897173
18181,1,Property,-90.3910823,38.5322682
18182,1,Property,-90.39046781,38.56823272
18183,1,Property,-90.388792,38.675622
18184,1,Property,-90.38837897,38.45844439
18185,1,Property,-90.38833889,38.71184676
18186,1,Property,-90.38714763,38.6855887
18187,1,Property,-90.3861659,38.5577431
18188,1,Property,-90.3854741,38.5324102
18189,1,Property,-90.38506378,38.68915583
18190,1,Property,-90.38430536,38.66045422
18191,1,Property,-90.38366455,38.50082493
18192,1,Property,-90.38342843,38.48959257
18193,1,Property,-90.383303,38.674053
18194,1,Property,-90.38244865,38.50154265
18195,1,Property,-90.38146703,38.63555009
18196,1,Property,-90.38053317,38.49459371
18197,1,Property,-90.37939363,38.69888775
18198,1,Property,-90.37847637,38.55802316
18199,1,Property,-90.3777045,38.5624467
18200,1,Property,-90.37731973,38.69977491
18201,1,Property,-90.37656317,38.50769377
18202,1,Property,-90.37650316,38.52568759
18203,1,Property,-90.37591866,38.69489295
18204,1,Property,-90.375668,38.674258
18205,1,Property,-90.375668,38.674258
18206,1,Property,-90.37503,38.674079
18207,1,Property,-90.37492605,38.6861838
18208,1,Property,-90.37469526,38.69070588
18209,1,Property,-90.372863,38.607133
18210,1,Property,-90.37153085,38.4642387
18211,1,Property,-90.37117937,38.5085418
18212,1,Property,-90.37112892,38.71273589
18213,1,Property,-90.3710979,38.6056517
18214,1,Property,-90.36959781,38.46284057
18215,1,Property,-90.368136,38.603528
18216,1,Property,-90.367643,38.602569
18217,1,Property,-90.36697079,38.48943808
18218,1,Property,-90.3656407,38.71958927
18219,1,Property,-90.36539812,38.65414417
18220,1,Property,-90.36473199,38.71205334
18221,1,Property,-90.364322,38.60918
18222,1,Property,-90.36424545,38.70258462
18223,1,Property,-90.36369353,38.71747268
18224,1,Property,-90.36326072,38.68994619
18225,1,Property,-90.36312815,38.53378483
18226,1,Property,-90.36263364,38.68775559
18227,1,Property,-90.36194928,38.68711826
18228,1,Property,-90.36101968,38.71127517
18229,1,Property,-90.36088153,38.48226002
18230,1,Property,-90.36080294,38.73346403
18231,1,Property,-90.36078342,38.68660562
18232,1,Property,-90.36078342,38.68660562
18233,1,Property,-90.36019998,38.70230869
18234,1,Property,-90.36014924,38.56454545
18235,1,Property,-90.359507,38.602919
18236,1,Property,-90.35946006,38.52027562
18237,1,Property,-90.35847141,38.48742166
18238,1,Property,-90.35819712,38.73246723
18239,1,Property,-90.35756606,38.68689848
18240,1,Property,-90.35636907,38.68948777
18241,1,Property,-90.35636907,38.68948777
18242,1,Property,-90.35526779,38.68811346
18243,1,Property,-90.353667,38.614678
18244,1,Property,-90.35347003,38.6922117
18245,1,Property,-90.351652,38.627511
18246,1,Property,-90.35141221,38.48237711
18247,1,Property,-90.35139837,38.64703766
18248,1,Property,-90.35111087,38.6870811
18249,1,Property,-90.35097927,38.4826769
18250,1,Property,-90.35097927,38.4826769
18251,1,Property,-90.35084865,38.71160587
18252,1,Property,-90.35017586,38.61122813
18253,1,Property,-90.35004,38.653335
18254,1,Property,-90.35004,38.653335
18255,1,Property,-90.35004,38.653335
18256,1,Property,-90.34994997,38.54541158
18257,1,Property,-90.3497425,38.65324438
18258,1,Property,-90.34962312,38.70418388
18259,1,Property,-90.34880484,38.70960887
18260,1,Property,-90.3486469,38.6328487
18261,1,Property,-90.348366,38.635145
18262,1,Property,-90.348354,38.617469
18263,1,Property,-90.348351,38.635549
18264,1,Property,-90.34834,38.635777
18265,1,Property,-90.34834,38.635777
18266,1,Property,-90.34834,38.635777
18267,1,Property,-90.34834,38.635777
18268,1,Property,-90.34834,38.635777
18269,1,Property,-90.34829169,38.46068831
18270,1,Property,-90.34821869,38.69076375
18271,1,Property,-90.348136,38.635154
18272,1,Property,-90.348136,38.635154
18273,1,Property,-90.348136,38.635154
18274,1,Property,-90.34808326,38.4860626
18275,1,Property,-90.3480466,38.6360775
18276,1,Property,-90.348045,38.633847
18277,1,Property,-90.348045,38.633847
18278,1,Property,-90.348045,38.633847
18279,1,Property,-90.347986,38.63576
18280,1,Property,-90.347928,38.634268
18281,1,Property,-90.34719017,38.68602179
18282,1,Property,-90.34689973,38.46130949
18283,1,Property,-90.3468232,38.50387452
18284,1,Property,-90.346612,38.625721
18285,1,Property,-90.346307,38.628742
18286,1,Property,-90.346111,38.62829
18287,1,Property,-90.346111,38.62829
18288,1,Property,-90.346111,38.62829
18289,1,Property,-90.3455371,38.7112843
18290,1,Property,-90.344635,38.628601
18291,1,Property,-90.344601,38.645585
18292,1,Property,-90.343303,38.612226
18293,1,Property,-90.342715,38.628491
18294,1,Property,-90.342715,38.628491
18295,1,Property,-90.342602,38.628507
18296,1,Property,-90.342602,38.628507
18297,1,Property,-90.342562,38.567559
18298,1,Property,-90.34243219,38.5387067
18299,1,Property,-90.341924,38.646871
18300,1,Property,-90.34136564,38.53432493
18301,1,Property,-90.34067408,38.42681198
18302,1,Property,-90.340526,38.567909
18303,1,Property,-90.340526,38.567909
18304,1,Property,-90.340032,38.647612
18305,1,Property,-90.33977674,38.50622595
18306,1,Property,-90.33977674,38.50622595
18307,1,Property,-90.339673,38.584416
18308,1,Property,-90.33905651,38.71287067
18309,1,Property,-90.33893616,38.43090598
18310,1,Property,-90.33823704,38.51193084
18311,1,Property,-90.338085,38.593428
18312,1,Property,-90.337459,38.613772
18313,1,Property,-90.33744882,38.49818559
18314,1,Property,-90.33737,38.646485
18315,1,Property,-90.336896,38.621039
18316,1,Property,-90.336743,38.629098
18317,1,Property,-90.336606,38.629099
18318,1,Property,-90.336326,38.60944
18319,1,Property,-90.3362969,38.51570712
18320,1,Property,-90.33570405,38.50099607
18321,1,Property,-90.335678,38.622665
18322,1,Property,-90.33558278,38.57071431
18323,1,Property,-90.335561,38.622836
18324,1,Property,-90.335477,38.622648
18325,1,Property,-90.33541907,38.50136466
18326,1,Property,-90.335148,38.640347
18327,1,Property,-90.33512082,38.55016155
